TIME	forecast2019	currentProjection	upsideScenario	downsideScenario	singleHit	doubleHit
2019-Q4	100	100	100	100	100	100
2020-Q1	100.730545078476	97.1582173364772	97.1582173364772	97.1582173364772	97.0131783685874	97.0131531629455
2020-Q2	101.440036093607	90.1456532937714	90.1456532937714	90.1456532937714	87.5760446634875	87.5763203978652
2020-Q3	102.183133338694	96.5934455757918	96.5934455757918	96.5934455757918	92.8294514068771	92.8296743585965
2020-Q4	102.941431119359	96.9560470970725	96.9560470970725	96.9560470970725	95.4101579110213	88.9666083633012
2021-Q1	103.710279216928	97.8762582764131	97.8762582764131	96.8570727989808	96.798587304789	91.7668067069038
2021-Q2	104.487842722555	98.8230998717694	98.8230998717694	96.575368465186	97.7251284575298	93.6607698414388
2021-Q3	105.285072940039	99.7127732910315	100.819186223469	96.4040043349152	98.520412525047	94.9892585475633
2021-Q4	106.097235836013	100.592662697632	102.614876995843	96.4218897168631	99.2096253694241	96.027390249865
2022-Q1	106.923276404873	101.533734770468	104.082231513207	96.9894909370808		
2022-Q2	107.745245071607	102.459607143405	105.163516175919	97.8813020578087		
2022-Q3	108.573532591559	103.412089097059	105.943617038155	99.2920480553429		
2022-Q4	109.408187540675	104.376485048456	106.723285938285	100.806078624403		
